구,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율
강남구,607,20,7,3130,3956,81.71334431630972,100.0,100.0,44.185303514377,86.22345803842265
강동구,172,10,5,1645,2429,98.25581395348837,100.0,100.0,57.68996960486322,86.82585426101276
강북구,208,7,8,1014,2156,73.5576923076923,71.42857142857143,100.0,62.6232741617357,93.83116883116884
강서구,316,4,11,1888,2916,80.0632911392405,100.0,100.0,58.95127118644068,87.24279835390946
관악구,379,7,8,1979,3152,85.22427440633246,85.71428571428571,87.5,58.211217786761,84.58121827411168
광진구,261,13,6,2220,2146,79.6934865900383,61.53846153846154,83.33333333333334,52.61261261261261,88.53681267474371
구로구,328,8,7,1725,2827,55.1829268292683,75.0,100.0,50.3768115942029,82.91475061903077
금천구,240,5,5,1141,1874,88.33333333333333,100.0,100.0,59.07099035933392,89.43436499466382
노원구,180,9,4,1538,2478,86.11111111111111,77.77777777777779,100.0,49.21976592977894,85.71428571428571
도봉구,104,3,1,633,1258,100.0,100.0,100.0,65.87677725118483,88.71224165341812
동대문구,165,3,11,1547,2249,90.30303030303031,100.0,90.9090909090909,65.74014221073044,93.0635838150289
동작구,396,7,1,1226,1700,43.686868686868685,100.0,100.0,48.368678629690045,86.23529411764706
마포구,500,8,3,2094,2673,85.8,100.0,100.0,39.97134670487106,83.1275720164609
서대문구,202,1,4,1230,1676,89.60396039603961,100.0,100.0,58.455284552845534,83.1145584725537
서초구,470,13,9,1812,2404,60.21276595744681,53.84615384615385,100.0,46.08167770419426,87.43760399334442
성동구,132,3,1,1072,1559,80.3030303030303,100.0,100.0,50.65298507462687,88.38999358563181
성북구,173,8,7,1344,1902,77.45664739884393,100.0,100.0,52.30654761904761,85.54153522607781
송파구,288,1,6,2274,3007,84.02777777777779,100.0,100.0,45.11873350923483,86.23212504156967
양천구,138,3,3,1590,2148,88.40579710144928,66.66666666666666,66.66666666666666,47.54716981132076,82.77467411545624
영등포구,455,5,15,2304,3190,58.681318681318686,100.0,86.66666666666667,48.09027777777778,82.10031347962382
용산구,327,5,1,1346,2381,88.37920489296636,80.0,100.0,46.50817236255572,84.67030659386813
은평구,230,4,6,1387,2256,92.6086956521739,100.0,100.0,67.33958183129054,90.86879432624113
종로구,253,10,7,1644,2143,68.37944664031622,80.0,71.42857142857143,40.024330900243314,85.72095193653756
중구,267,9,1,1846,2061,55.80524344569289,100.0,0.0,48.15817984832069,87.53032508491025
중랑구,172,3,5,1533,2858,83.72093023255815,100.0,100.0,53.03326810176125,84.88453463960812
